#TYPE System.Management.Automation.PSCustomObject
"link","isInput"
"https://www.tripadvisor.com/Hotel_Review-g297697-d3912004-Reviews-Ozz_Hotel_Kuta-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g1599559-d1552295-Reviews-Lovina_Beach_Hotel-Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d3474836-Reviews-Alron_Hotel-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g303952-d309158-Reviews-Lakeview_Hotel_Restaurant-Kintamani_Bangli_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d6428000-Reviews-Palm_Beach_Bali_Resort-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d7146434-Reviews-Kutabex_Beach_Front_Hotel-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g469404-d614232-Reviews-Puri_Dewa_Bharata_Hotel_Villas-Seminyak_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g608487-d648432-Reviews-Rosani_Hotel-Legian_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d8365496-Reviews-Sun_Royal_Hotel-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g608486-d5892414-Reviews-Pandawa_All_Suite_Hotel-Kerobokan_North_Kuta_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d8322300-Reviews-Crystalkuta_Hotel_Bali-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g1600236-d2102946-Reviews-Puri_Bali_Hotel-Anturan_Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d1163210-Reviews-Fourteen_Roses_Beach_Hotel-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g297697-d656543-Reviews-Restu_Bali_Hotel-Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g608486-d577468-Reviews-Taman_Rosani_Hotel_Villa-Kerobokan_North_Kuta_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g1380108-d7785478-Reviews-Klapa_Resort-Pecatu_Bukit_Peninsula_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g562690-d588404-Reviews-Bakung_Beach_Resort-Tuban_Kuta_Kuta_District_Bali.html","1"
"https://www.tripadvisor.com/Hotel_Review-g2538504-d4874936-Reviews-Le_Pirate_Beach_Club_Hotel_Nusa_Ceningan-Nusa_Ceningan_Bali.html","1"
